"","county","village","survey","rdtPos","microPos","rdtTests","microTests"
"1",1,"01",1,16,19,57,51
"2",1,"01",2,10,9,63,61
"3",1,"01",3,4,2,47,43
"4",1,"01",4,4,3,37,35
"5",1,"02",1,12,9,23,23
"6",1,"02",2,13,6,40,39
"7",1,"02",3,1,0,37,36
"8",1,"02",4,1,0,33,33
"9",1,"03",1,46,27,123,117
"10",1,"03",2,4,7,48,48
"11",1,"03",3,4,2,53,51
"12",1,"03",4,7,1,57,57
"13",1,"04",1,21,12,54,52
"14",1,"04",2,5,4,34,32
"15",1,"04",3,2,3,51,39
"16",1,"04",4,3,1,66,65
"17",1,"05",1,28,15,66,64
"18",1,"05",2,12,7,63,50
"19",1,"05",3,5,4,71,69
"20",1,"05",4,9,8,55,54
"21",1,"06",1,23,6,51,27
"22",1,"06",2,6,2,30,29
"23",1,"06",3,2,2,29,26
"24",1,"06",4,5,1,31,29
"25",1,"07",1,2,8,33,31
"26",1,"07",2,7,2,58,58
"27",1,"07",3,1,1,54,54
"28",1,"07",4,8,1,58,58
"29",1,"08",1,26,18,51,47
"30",1,"08",2,12,7,54,54
"31",1,"08",3,4,1,61,56
"32",1,"08",4,6,2,56,56
"33",1,"09",1,11,10,37,36
"34",1,"09",2,8,1,48,14
"35",1,"09",3,1,0,35,32
"36",1,"09",4,0,0,36,35
"37",1,"10",1,7,6,23,23
"38",1,"10",2,2,2,32,32
"39",1,"10",3,0,1,20,20
"40",1,"10",4,0,0,16,16
"41",1,"11",1,9,9,41,40
"42",1,"11",2,3,1,28,22
"43",1,"11",3,0,1,32,31
"44",1,"11",4,3,2,23,23
"45",1,"12",1,14,10,53,53
"46",1,"12",2,12,7,76,71
"47",1,"12",3,2,0,48,47
"48",1,"12",4,6,1,47,47
"49",1,"13",1,0,2,10,10
"50",1,"13",2,2,2,40,39
"51",1,"13",3,1,2,33,33
"52",1,"13",4,0,0,27,27
"53",1,"14",1,25,20,69,67
"54",1,"14",2,18,14,67,67
"55",1,"14",3,2,1,43,43
"56",1,"14",4,4,2,41,41
"57",1,"15",1,8,9,38,38
"58",1,"15",2,10,7,41,40
"59",1,"15",3,2,0,44,43
"60",1,"15",4,1,0,25,25
"61",1,"16",1,12,4,28,16
"62",1,"16",2,7,2,36,31
"63",1,"16",3,3,3,44,44
"64",1,"16",4,0,0,22,22
"65",1,"17",1,9,4,34,33
"66",1,"17",2,6,5,20,20
"67",1,"17",3,6,2,40,39
"68",1,"17",4,3,1,30,30
"69",1,"18",1,38,22,76,73
"70",1,"18",2,23,11,76,71
"71",1,"18",3,6,5,78,77
"72",1,"18",4,14,3,66,65
"73",3,"01",1,4,1,29,25
"74",3,"01",2,6,1,20,16
"75",3,"01",3,1,0,6,6
"76",3,"01",4,0,0,15,15
"77",3,"02",1,1,2,16,16
"78",3,"02",2,1,0,14,14
"79",3,"02",3,0,0,8,8
"80",3,"02",4,0,0,11,11
"81",3,"03",1,9,5,32,23
"82",3,"03",2,2,0,19,19
"83",3,"03",3,0,1,13,13
"84",3,"03",4,1,0,19,19
"85",3,"04",1,1,0,10,10
"86",3,"04",2,8,4,25,26
"87",3,"04",3,4,2,18,13
"88",3,"04",4,0,0,10,10
"89",3,"05",1,0,1,5,5
"90",3,"05",2,4,1,13,12
"91",3,"05",3,2,0,17,17
"92",3,"05",4,2,1,13,13
"93",3,"06",1,9,2,33,33
"94",3,"06",2,4,2,19,19
"95",3,"06",3,1,0,12,12
